MaterialName,A,B,C,D,Vendor,DatasheetUrl
MS 160,0.01,4.4391748615784566e-05,1.62692796162866,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/60/c5/60c57bd8-8454-44f8-bd49-0c7d7f83cb70/ms-160-datasheet.pdf
MS 26,0.01,2.0607288234359636e-07,1.9954802976342,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/de/92/de92618b-91fa-4a79-8941-2d876a8140fb/ms-026-datasheet.pdf
MS 40,0.01,2.6545189512697584e-06,1.70342168419145,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/6a/c3/6ac3f810-10fb-493c-a307-9bcd4f2adf1b/ms-040-datasheet.pdf
MS 60,0.01,2.1511853201841724e-06,1.84090626432745,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/db/06/db06aae2-7ebf-4690-a80c-cd90e892ac65/ms-060-datasheet.pdf
MS 75,0.01,3.4141417822154257e-06,1.84090626432745,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/c4/62/c462e8ee-9efd-4bf8-92a5-da94c4962f8e/ms-075-datasheet.pdf
MS 90,0.01,3.9939858515321745e-06,1.88276251483404,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/e1/9e/e19eebf2-17a4-4b50-b2d3-9193e3a6b7b5/ms-090-datasheet.pdf
Mix 1,0.01,1.1409828703573245e-06,1.42524422567231,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/2d/ac/2dacb91a-a93c-4d2c-895b-78d2c843b1dc/mix-1-datasheet.pdf
Mix 10,0.01,5.536362745658813e-09,1.69170671913519,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/b2/3b/b23bda37-b7b1-4549-ad28-e1790d4fd357/mix-10-datasheet.pdf
Mix 14,0.01,3.901826904638883e-07,1.45939546687604,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/13/af/13af4aff-8099-4751-a76f-ee55a3127232/mix-14-datasheet.pdf
Mix 15,0.01,1.7827857349333223e-06,1.42524422567231,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/bb/73/bb73135e-ce88-44bb-80bf-00e46f827cf4/mix-15-datasheet.pdf
Mix 17,0.01,1.3401575014546914e-08,1.54784999558989,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/46/59/4659e250-f325-4b6c-921f-82e11065b92e/mix-17-datasheet.pdf
Mix 18,0.01,4.718191477886682e-06,1.6513429617722601,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/82/c7/82c741f8-73cc-4518-9ad3-8f744e8a9f1d/mix-18-datasheet.pdf
Mix 19,0.01,3.603202507565604e-06,1.68815991257138,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/e1/50/e150c222-4da6-4f7a-b27f-fcd07c90382f/mix-19-datasheet.pdf
Mix 2,0.01,1.8324695484760447e-07,1.46196619102418,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/67/c4/67c4b280-74bf-4705-a796-0f91cfb9833d/mix-2-datasheet.pdf
Mix 26,0.01,9.704795648257756e-06,1.7197666035188401,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/2d/6d/2d6d534c-9520-45b8-9bf4-2403b1d2e3b0/mix-26-datasheet.pdf
Mix 3,0.01,3.4942600404693135e-06,1.42524422567231,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/49/78/4978e27d-3bcc-47d0-a20d-b04a31ae7f91/mix-3-datasheet.pdf
Mix 30,0.01,4.101795996475252e-06,1.3405383657474,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/c5/61/c561b9a2-1a3c-4d3b-aae6-fabdefe827b3/mix-30-datasheet.pdf
Mix 34,0.01,2.9986223326559873e-06,1.542994109386759,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/0a/91/0a91f98e-11b7-498f-82c0-dc24f0ad35d1/mix-34-datasheet.pdf
Mix 35,0.01,6.215840271143916e-06,1.38448608436355,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/e2/e0/e2e08057-2fc3-415f-892d-2de322a63c21/mix-35-datasheet.pdf
Mix 38,0.01,9.781960589724734e-06,1.75680583232754,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/48/7c/487ca063-347f-4d13-b81a-667d42bcfff3/mix-38-datasheet.pdf
Mix 40,0.01,8.93340978783984e-06,1.61407798306068,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/c4/25/c42521ec-1957-415f-a104-d66e328217cc/mix-40-datasheet.pdf
Mix 45,0.01,2.437669734755497e-05,1.60697171881873,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/08/1c/081c31f3-5d86-4a63-8502-fe16f7409390/mix-45-datasheet.pdf
Mix 52,0.01,4.657180568773704e-06,1.8406335926474,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/46/39/4639cc57-2d73-485e-8979-f4d66fb83aff/mix-52-datasheet.pdf
Mix 6,0.01,4.8697113518047166e-08,1.56889307833502,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/d0/6f/d06f1158-7f2e-490a-a332-bfdb1e197a48/mix-6-datasheet.pdf
Mix 60,0.01,1.942145122229194e-05,1.36158019230597,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/8c/86/8c86e46f-f433-44b3-80b8-dc0301dedbd4/mix-60-datasheet.pdf
Mix 61,0.01,7.60070713916535e-06,1.38804814536219,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/12/af/12afd40a-c9c7-4b5e-8f0a-62f852adf59b/mix-61-datasheet.pdf
Mix 63,0.01,1.2895176224431038e-05,1.242569141368989,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/3c/5d/3c5dd191-30d7-4a73-8629-4163f2f0d0e1/mix-63-datasheet.pdf
Mix 66,0.01,1.2307666088567145e-05,1.4843099889935,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/15/a9/15a9fd9b-30ea-4034-ad63-e824abe11f51/mix-66-datasheet.pdf
Mix 7,0.01,1.48430033426559e-07,1.46196619102418,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/8a/7f/8a7f376d-21bd-48f7-9b07-6e8939a0c23b/mix-7-datasheet.pdf
Mix 70,0.01,1.8530214572940715e-05,1.64133012357639,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/49/81/4981fc4f-9243-406b-8b4c-97c359d85f2e/mix-70-datasheet.pdf
Mix 8,0.01,3.4942600404693135e-06,1.42524422567231,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/c0/4d/c04d292a-90a1-44d3-8e59-61bb8f916c7d/mix-8-datasheet.pdf
OC 125,0.01,8.990095568891317e-07,2.22118982306661,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/bf/d2/bfd25e77-67c6-46db-aa4d-70fd3fa7de33/oc-125-datasheet.pdf
OC 26,0.01,3.2875405891584054e-07,1.777884312931489,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/33/4a/334a7626-32ab-4fbb-88b0-9c0f1c93a0e4/oc-026-datasheet.pdf
OC 60,0.01,8.573060323538574e-08,2.32550975440056,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/7c/50/7c50c0fb-77c1-4689-9575-e3f8d271b10b/oc-060-datasheet.pdf
OC 90,0.01,4.5565301168286547e-07,2.17457313810622,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/cb/f6/cbf6faf0-0e0d-4cad-8041-1acbba252656/oc-090-datasheet.pdf
OD 26,0.01,5.4446802802070983e-08,2.00114471827501,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/6f/8b/6f8b8c66-dcee-4d57-a6c1-462acc3a1a83/od-026-datasheet.pdf
